epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,57.8006,0.64264,1.05426,1.14397,1.06205,1,0.72729,0.82726,0.26931,0.73534,0.56482,0.46513,0.14808,1.91825,10.6668,3.81431,2.14363,0.000954148,0.000954148,0.000954148
31,59.3882,0.62103,0.70905,1.03365,1.00637,1,0.72729,0.82726,0.26931,0.73534,0.56482,0.46513,0.14808,1.91825,10.6668,3.81431,2.14363,0.00097844,0.00097844,0.00097844
32,61.2531,0.49301,0.58964,0.81314,0.97379,0.60349,0.8,0.78357,0.26355,1,0.39269,0.6169,0.22667,1.80264,11.2521,3.47213,1.98055,0.0010022,0.0010022,0.0010022
33,62.9124,0.4751,0.47663,0.89062,0.99127,0.60026,0.6,0.67179,0.20784,0.60989,0.6,0.54528,0.18119,1.60814,9.74469,3.12042,2.08278,0.00102544,0.00102544,0.00102544
34,64.5046,0.77245,0.98907,1.01945,1.10302,0.60026,0.6,0.67179,0.20784,0.60989,0.6,0.54528,0.18119,1.60814,9.74469,3.12042,2.08278,0.00104815,0.00104815,0.00104815
35,66.3806,0.57844,0.63031,0.88185,0.95211,0.49439,0.8,0.55429,0.17269,0.24446,0.4,0.20247,0.10392,1.65021,7.01911,3.39409,1.94858,0.00107033,0.00107033,0.00107033
36,68.2066,0.563,0.5893,0.91591,1.0399,0.28757,0.6,0.30944,0.12941,0.37319,0.48369,0.46361,0.14154,1.86849,5.79941,3.34887,2.48261,0.00109198,0.00109198,0.00109198
37,69.7612,0.71406,0.86199,0.96317,1.02174,0.28757,0.6,0.30944,0.12941,0.37319,0.48369,0.46361,0.14154,1.86849,5.79941,3.34887,2.48261,0.0011131,0.0011131,0.0011131
38,71.4954,0.50445,0.59694,0.83757,0.96986,0.18149,0.4,0.15955,0.06609,0.30602,0.4,0.26081,0.07293,1.9769,6.00195,3.39712,2.60568,0.0011337,0.0011337,0.0011337
39,73.3673,0.83952,0.77631,1.61289,1.13628,0.17943,0.4,0.13923,0.03894,0.27338,0.4,0.1398,0.05009,2.47332,5.93305,4.00613,2.79999,0.00115377,0.00115377,0.00115377
40,74.982,0.56936,0.50584,0.86466,0.91998,0.17943,0.4,0.13923,0.03894,0.27338,0.4,0.1398,0.05009,2.47332,5.93305,4.00613,2.79999,0.00117331,0.00117331,0.00117331
41,76.8723,0.61701,0.96233,1.06865,0.99051,0.31537,0.2,0.12436,0.02118,0.16314,0.2,0.06776,0.01819,2.78977,6.53855,4.54359,3.16901,0.00119232,0.00119232,0.00119232
42,78.9456,0.63001,0.5093,0.88175,0.96872,0.06677,0.2,0.07852,0.01622,0.06744,0.2,0.0609,0.01681,2.69924,6.19304,4.53797,2.92354,0.0012108,0.0012108,0.0012108
43,80.5334,1.47121,1.91733,1.62662,1.74388,0.06677,0.2,0.07852,0.01622,0.06744,0.2,0.0609,0.01681,2.69924,6.19304,4.53797,2.92354,0.00122876,0.00122876,0.00122876
44,82.5551,0.76861,0.72166,1.09676,1.13156,0.04853,0.6,0.09217,0.03205,0.03235,0.4,0.06999,0.02066,2.27381,5.82145,4.08007,2.3573,0.00124619,0.00124619,0.00124619
45,84.2372,0.53061,0.85237,1.45552,1.02693,0.04853,0.6,0.09217,0.03205,0.03235,0.4,0.06999,0.02066,2.27381,5.82145,4.08007,2.3573,0.00126309,0.00126309,0.00126309
46,86.2943,0.53764,0.43644,0.83476,1.02492,0.14536,0.2,0.12546,0.07631,0.14536,0.2,0.09641,0.03855,2.33398,6.04722,3.87351,2.54947,0.00127946,0.00127946,0.00127946
47,88.1622,0.68417,1.0651,0.93664,1.06078,0.14536,0.2,0.12546,0.07631,0.14536,0.2,0.09641,0.03855,2.33398,6.04722,3.87351,2.54947,0.0012953,0.0012953,0.0012953
48,90.3549,0.72,0.56617,1.07582,1.20963,0.09456,0.2,0.09117,0.03584,0.09456,0.2,0.03733,0.01892,2.39974,9.07634,4.30063,2.45922,0.00131062,0.00131062,0.00131062
49,92.0034,0.61844,0.68914,0.93753,1.03159,0.09456,0.2,0.09117,0.03584,0.09456,0.2,0.03733,0.01892,2.39974,9.07634,4.30063,2.45922,0.00132541,0.00132541,0.00132541
50,94.2064,0.62751,0.81936,0.9139,1.03649,0.0414,0.4,0.04428,0.0112,0.00067,0.2,0.0048,0.00074,3.3235,16.7398,5.17945,3.30376,0.00133967,0.00133967,0.00133967
51,95.8703,0.64107,0.59079,0.96747,1.11518,0.0414,0.4,0.04428,0.0112,0.00067,0.2,0.0048,0.00074,3.3235,16.7398,5.17945,3.30376,0.00134,0.00134,0.00134
52,98.4857,0.75723,0.94718,1.03382,1.05067,0.14031,0.2,0.11636,0.06055,0.0229,0.2,0.01541,0.00455,2.83951,21.5964,3.84038,2.87408,0.0013268,0.0013268,0.0013268
53,100.129,0.60223,0.51743,0.83157,0.93881,0.14031,0.2,0.11636,0.06055,0.0229,0.2,0.01541,0.00455,2.83951,21.5964,3.84038,2.87408,0.0013136,0.0013136,0.0013136
54,102.31,0.62162,0.55105,1.0318,1.12768,0.34345,0.6,0.27195,0.13757,0.002,0.6,0.01109,0.00198,2.58403,22.1574,3.64344,3.02324,0.0013004,0.0013004,0.0013004
55,103.983,0.63743,0.30424,0.79001,1.01107,0.34345,0.6,0.27195,0.13757,0.002,0.6,0.01109,0.00198,2.58403,22.1574,3.64344,3.02324,0.0012872,0.0012872,0.0012872
56,106.254,0.58215,0.63214,0.79553,0.97679,0.17642,0.6,0.2332,0.08923,0.02199,0.4,0.01728,0.00446,2.0241,21.3647,3.60148,2.38301,0.001274,0.001274,0.001274
57,107.939,0.66603,0.75948,1.22625,1.12098,0.17642,0.6,0.2332,0.08923,0.02199,0.4,0.01728,0.00446,2.0241,21.3647,3.60148,2.38301,0.0012608,0.0012608,0.0012608
58,110.204,0.61478,0.39183,0.80956,1.00696,0.29196,0.8,0.30017,0.12384,0.21848,0.6,0.18203,0.05095,1.90883,15.6343,3.12504,2.40365,0.0012476,0.0012476,0.0012476
59,112.097,0.56805,0.42171,0.86509,0.9634,0.29196,0.8,0.30017,0.12384,0.21848,0.6,0.18203,0.05095,1.90883,15.6343,3.12504,2.40365,0.0012344,0.0012344,0.0012344
60,114.294,0.62367,0.55275,1.02991,1.02079,0.70076,0.6,0.61292,0.2205,0.46492,0.4,0.32611,0.13915,1.22919,13.5588,3.09025,1.78813,0.0012212,0.0012212,0.0012212
61,116.106,0.53862,1.15141,0.89423,1.03301,0.70076,0.6,0.61292,0.2205,0.46492,0.4,0.32611,0.13915,1.22919,13.5588,3.09025,1.78813,0.001208,0.001208,0.001208
62,118.463,0.45861,0.43207,0.80029,0.97843,0.71738,0.6,0.625,0.25349,0.47239,0.4,0.29778,0.15585,1.37075,10.1538,3.02325,1.92387,0.0011948,0.0011948,0.0011948
