epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
134,796.012,0.35559,0.22636,0.48435,0.94249,0.93365,1,0.995,0.65943,0.96651,0.4,0.39541,0.2763,1.16807,7.81585,1.60888,1.48513,0.0002444,0.0002444,0.0002444
135,798.027,0.44632,0.42983,0.85453,1.02732,0.93365,1,0.995,0.65943,0.96651,0.4,0.39541,0.2763,1.16807,7.81585,1.60888,1.48513,0.0002312,0.0002312,0.0002312
136,801.006,0.3604,0.26837,0.48097,0.85584,0.94473,1,0.995,0.65125,0.96799,0.4,0.39541,0.2763,1.16128,7.66969,1.6308,1.47299,0.000218,0.000218,0.000218
137,802.923,0.35318,0.26935,0.47646,0.88145,0.94473,1,0.995,0.65125,0.96799,0.4,0.39541,0.2763,1.16128,7.66969,1.6308,1.47299,0.0002048,0.0002048,0.0002048
138,806.257,0.49659,0.42252,0.53044,0.99551,0.9995,1,0.995,0.62337,0.96903,0.4,0.39541,0.29632,1.15078,6.99332,1.65824,1.44812,0.0001916,0.0001916,0.0001916
139,808.247,0.37755,0.26391,0.48368,0.90879,0.9995,1,0.995,0.62337,0.96903,0.4,0.39541,0.29632,1.15078,6.99332,1.65824,1.44812,0.0001784,0.0001784,0.0001784
140,812.065,0.29921,0.19812,0.41936,0.84648,1,0.95078,0.995,0.60838,0.96796,0.4,0.39542,0.31633,1.1254,6.6071,1.6942,1.40985,0.0001652,0.0001652,0.0001652
141,816.079,0.38018,0.43851,0.77529,0.85078,1,0.95078,0.995,0.60838,0.96796,0.4,0.39542,0.31633,1.1254,6.6071,1.6942,1.40985,0.000152,0.000152,0.000152
142,819.437,0.5963,0.51054,0.99858,1.06975,0.84463,0.8,0.96167,0.54557,0.96391,0.4,0.39542,0.31634,1.06545,6.41271,1.73023,1.37429,0.0001388,0.0001388,0.0001388
143,821.497,0.30269,0.24887,0.65413,0.91068,0.84463,0.8,0.96167,0.54557,0.96391,0.4,0.39542,0.31634,1.06545,6.41271,1.73023,1.37429,0.0001256,0.0001256,0.0001256
144,825.177,0.28739,0.2242,0.74874,0.88039,0.82064,0.92385,0.92833,0.53471,0.96043,0.4,0.49625,0.32642,1.0794,6.25259,1.81789,1.38777,0.0001124,0.0001124,0.0001124
145,827.235,0.36084,0.14483,0.71222,0.93939,0.82064,0.92385,0.92833,0.53471,0.96043,0.4,0.49625,0.32642,1.0794,6.25259,1.81789,1.38777,9.92e-05,9.92e-05,9.92e-05
146,830.134,0.31629,0.40349,1.03258,0.9998,0.79227,0.76908,0.82611,0.55765,0.95931,0.4,0.46291,0.33953,1.06463,6.12017,1.87285,1.39495,8.6e-05,8.6e-05,8.6e-05
147,831.849,0.24653,0.25353,0.60295,0.83402,0.79227,0.76908,0.82611,0.55765,0.95931,0.4,0.46291,0.33953,1.06463,6.12017,1.87285,1.39495,7.28e-05,7.28e-05,7.28e-05
148,834.789,0.32587,0.16995,0.73612,0.89979,0.79564,0.8,0.85786,0.54513,0.95126,0.4,0.48194,0.35191,1.05653,5.96907,1.86347,1.38877,5.96e-05,5.96e-05,5.96e-05
149,836.636,0.29496,0.32211,0.61855,0.91887,0.79564,0.8,0.85786,0.54513,0.95126,0.4,0.48194,0.35191,1.05653,5.96907,1.86347,1.38877,4.64e-05,4.64e-05,4.64e-05
150,840.009,0.27828,0.18241,0.70493,0.81202,0.79782,0.79129,0.8,0.46879,0.63397,0.4,0.40462,0.29212,1.05458,5.92972,1.90487,1.37109,3.32e-05,3.32e-05,3.32e-05
